issue_id,report_id,issue_date,issue_type,severity,source_system,assigned_analyst_id,resolution_hours,issue_status,root_cause
DQI00033,RPT0002,2025-06-30,Missing Data,Medium,Risk System,A007,61,Open,Database Issue
DQI00034,RPT0054,2026-06-14,Duplicate Records,Medium,CRM,A018,5,Under Investigation,Transformation Logic
DQI00035,RPT0118,2025-08-06,Missing Data,High,Core Banking,A017,38,Resolved,Source System
DQI00036,RPT0051,2025-10-25,Null Values,Medium,ERP,A009,14,Open,Unknown
DQI00037,RPT0072,2026-03-24,Incorrect Values,Low,Core Banking,A016,57,Resolved,Transformation Logic
DQI00038,RPT0042,2025-10-21,Null Values,Medium,CRM,A025,119,Open,Data Entry
DQI00039,RPT0078,2025-03-02,Delayed Data,High,CRM,A011,86,Under Investigation,Transformation Logic
DQI00040,RPT0082,2024-11-01,Data Mismatch,Medium,CRM,A005,81,Resolved,Mapping Issue
DQI00041,RPT0005,2025-08-13,Invalid Format,Critical,Client Database,A012,95,Open,Database Issue
DQI00042,RPT0109,2024-11-07,Delayed Data,High,ERP,A011,4,Under Investigation,Unknown
DQI00043,RPT0073,2026-05-06,Delayed Data,Low,Client Database,A025,14,Open,Database Issue
DQI00044,RPT0036,2026-04-28,Invalid Format,High,Core Banking,A014,35,Open,Unknown
DQI00045,RPT0093,2024-12-06,Invalid Format,Medium,Client Database,A025,91,Resolved,Unknown
DQI00046,RPT0005,2024-11-22,Incorrect Values,Medium,Core Banking,A009,25,Resolved,Unknown
DQI00047,RPT0118,2024-08-29,Missing Data,Medium,Core Banking,A023,116,Under Investigation,Data Entry
DQI00048,RPT0002,2024-10-06,Null Values,Medium,Client Database,A006,37,Resolved,Source System
DQI00049,RPT0103,2026-05-26,Invalid Format,Medium,Core Banking,A020,65,Under Investigation,Database Issue
DQI00050,RPT0004,2026-04-18,Missing Data,Medium,CRM,A008,120,Open,Unknown
DQI00051,RPT0045,2025-02-08,Null Values,Low,HR System,A021,6,Under Investigation,Source System
DQI00052,RPT0074,2024-11-29,Data Mismatch,Medium,CRM,A009,4,Open,Mapping Issue
DQI00053,RPT0001,2025-01-20,Delayed Data,Medium,CRM,A001,34,Resolved,Data Entry
DQI00054,RPT0053,2026-05-21,Incorrect Values,Low,Core Banking,A012,93,Open,Database Issue
DQI00055,RPT0028,2025-06-27,Delayed Data,Medium,Core Banking,A024,103,Under Investigation,Mapping Issue
DQI00056,RPT0003,2025-06-05,Incorrect Values,Medium,Core Banking,A018,54,Under Investigation,Database Issue
DQI00057,RPT0055,2026-02-04,Incorrect Values,Low,ERP,A011,52,Open,Mapping Issue
DQI00058,RPT0006,2025-12-22,Duplicate Records,Low,HR System,A016,69,Under Investigation,Data Entry
DQI00059,RPT0015,2026-08-18,Missing Data,Medium,ERP,A022,66,Resolved,Mapping Issue
DQI00060,RPT0048,2026-01-02,Invalid Format,Medium,CRM,A018,86,Under Investigation,Source System
DQI00061,RPT0003,2024-10-24,Incorrect Values,Medium,Core Banking,A008,79,Resolved,Data Entry
DQI00062,RPT0108,2025-11-15,Data Mismatch,High,Risk System,A003,113,Open,Data Entry
DQI00063,RPT0036,2025-11-18,Data Mismatch,Low,Data Warehouse,A016,89,Under Investigation,Unknown
DQI00064,RPT0099,2025-03-09,Duplicate Records,Medium,Risk System,A004,106,Under Investigation,Source System
DQI00065,RPT0106,2026-08-02,Duplicate Records,Medium,ERP,A023,101,Resolved,Source System
DQI00066,RPT0008,2026-05-13,Data Mismatch,Medium,ERP,A012,62,Open,Mapping Issue
DQI00067,RPT0118,2024-10-17,Delayed Data,Low,Core Banking,A009,34,Open,Database Issue
DQI00068,RPT0083,2024-09-05,Incorrect Values,Medium,Client Database,A020,99,Resolved,Data Entry
DQI00069,RPT0070,2024-10-09,Missing Data,Medium,ERP,A006,87,Under Investigation,Source System
DQI00070,RPT0102,2025-01-20,Null Values,High,ERP,A015,104,Under Investigation,Transformation Logic
DQI00071,RPT0088,2026-07-21,Invalid Format,Low,Core Banking,A025,89,Open,Unknown
DQI00072,RPT0100,2026-01-03,Invalid Format,Medium,Client Database,A015,22,Under Investigation,Unknown
DQI00073,RPT0092,2025-07-30,Delayed Data,Low,Risk System,A009,13,Open,Database Issue
DQI00074,RPT0003,2026-05-10,Delayed Data,High,CRM,A019,41,Under Investigation,Data Entry
DQI00075,RPT0111,2024-11-28,Null Values,Medium,Client Database,A009,99,Open,Transformation Logic
DQI00076,RPT0020,2024-10-30,Null Values,High,HR System,A024,76,Open,Database Issue
DQI00077,RPT0064,2026-07-23,Null Values,Medium,Client Database,A001,66,Under Investigation,Mapping Issue
DQI00078,RPT0086,2026-06-09,Data Mismatch,High,HR System,A022,52,Open,Mapping Issue
DQI00079,RPT0061,2026-05-26,Null Values,High,ERP,A015,75,Under Investigation,Source System
DQI00080,RPT0019,2026-05-10,Incorrect Values,Low,Core Banking,A004,111,Under Investigation,Source System
DQI00081,RPT0055,2025-05-04,Data Mismatch,High,ERP,A018,17,Under Investigation,Mapping Issue
DQI00082,RPT0059,2024-11-23,Data Mismatch,Low,Data Warehouse,A014,105,Under Investigation,Mapping Issue
DQI00083,RPT0011,2024-09-22,Invalid Format,High,Client Database,A004,80,Under Investigation,Transformation Logic
DQI00084,RPT0108,2025-08-13,Duplicate Records,High,Core Banking,A005,50,Open,Database Issue
DQI00085,RPT0015,2024-09-28,Delayed Data,Medium,Data Warehouse,A014,28,Under Investigation,Mapping Issue
DQI00086,RPT0068,2024-12-28,Null Values,High,Risk System,A012,3,Open,Mapping Issue
DQI00087,RPT0081,2026-08-07,Missing Data,Low,Core Banking,A021,5,Open,Unknown
DQI00088,RPT0094,2025-11-08,Null Values,High,Client Database,A021,116,Under Investigation,Mapping Issue
DQI00089,RPT0110,2025-07-22,Invalid Format,Medium,Core Banking,A015,40,Open,Mapping Issue
DQI00090,RPT0005,2026-05-20,Missing Data,High,Core Banking,A015,36,Open,Source System
DQI00091,RPT0003,2026-03-05,Incorrect Values,Low,HR System,A003,97,Open,Data Entry
DQI00092,RPT0037,2025-06-22,Incorrect Values,Critical,CRM,A021,81,Under Investigation,Unknown
DQI00093,RPT0059,2025-09-09,Delayed Data,Medium,Risk System,A011,43,Resolved,Data Entry
DQI00094,RPT0063,2024-09-11,Invalid Format,Medium,Core Banking,A009,29,Under Investigation,Database Issue
DQI00095,RPT0044,2025-06-13,Incorrect Values,Low,HR System,A022,95,Under Investigation,Mapping Issue
DQI00096,RPT0087,2026-02-01,Null Values,Medium,Data Warehouse,A007,98,Resolved,Data Entry
DQI00097,RPT0091,2025-07-17,Duplicate Records,Medium,Core Banking,A001,2,Under Investigation,Data Entry
DQI00098,RPT0088,2025-01-01,Null Values,Critical,Data Warehouse,A006,3,Open,Unknown
DQI00099,RPT0091,2025-05-21,Delayed Data,Medium,HR System,A025,82,Resolved,Mapping Issue
DQI00100,RPT0065,2025-02-02,Incorrect Values,Medium,Client Database,A016,88,Resolved,Unknown
DQI00101,RPT0111,2026-07-26,Incorrect Values,Medium,ERP,A024,109,Under Investigation,Mapping Issue
DQI00102,RPT0053,2025-01-12,Missing Data,High,Data Warehouse,A020,32,Under Investigation,Source System
DQI00103,RPT0060,2025-03-21,Duplicate Records,High,Data Warehouse,A022,101,Open,Data Entry
DQI00104,RPT0099,2025-03-25,Invalid Format,Medium,Client Database,A010,117,Resolved,Unknown
DQI00105,RPT0078,2025-08-01,Missing Data,Medium,Risk System,A013,63,Resolved,Mapping Issue
DQI00106,RPT0112,2026-07-07,Data Mismatch,Medium,Risk System,A015,65,Under Investigation,Database Issue
DQI00107,RPT0014,2024-12-13,Incorrect Values,Low,Data Warehouse,A010,64,Under Investigation,Source System
DQI00108,RPT0088,2024-09-15,Data Mismatch,Medium,Data Warehouse,A019,26,Open,Source System
DQI00109,RPT0103,2025-12-09,Invalid Format,High,ERP,A011,62,Under Investigation,Transformation Logic
DQI00110,RPT0078,2025-12-13,Missing Data,Low,CRM,A012,51,Open,Database Issue
DQI00111,RPT0080,2025-12-12,Missing Data,Medium,Client Database,A005,63,Resolved,Source System
DQI00112,RPT0068,2025-02-26,Missing Data,Medium,CRM,A007,4,Resolved,Unknown
DQI00113,RPT0003,2026-01-04,Invalid Format,Low,ERP,A007,76,Open,Data Entry
DQI00114,RPT0074,2025-04-06,Null Values,Low,Risk System,A023,57,Resolved,Data Entry
DQI00115,RPT0001,2025-09-11,Missing Data,Medium,CRM,A023,72,Open,Unknown
DQI00116,RPT0079,2025-07-06,Incorrect Values,Medium,Client Database,A004,118,Resolved,Unknown
DQI00117,RPT0039,2026-07-06,Delayed Data,Medium,Data Warehouse,A009,110,Resolved,Transformation Logic
DQI00118,RPT0020,2025-10-21,Missing Data,Low,Client Database,A015,71,Under Investigation,Source System
DQI00119,RPT0045,2025-08-27,Incorrect Values,Low,CRM,A003,77,Under Investigation,Transformation Logic
DQI00120,RPT0030,2024-10-06,Duplicate Records,Low,Client Database,A024,107,Resolved,Data Entry
DQI00121,RPT0088,2024-10-27,Data Mismatch,Medium,Data Warehouse,A021,57,Under Investigation,Data Entry
DQI00122,RPT0038,2025-03-25,Delayed Data,Low,Risk System,A007,120,Under Investigation,Unknown
DQI00123,RPT0113,2025-06-13,Data Mismatch,Low,Risk System,A022,47,Under Investigation,Data Entry
DQI00124,RPT0039,2024-12-04,Delayed Data,High,Data Warehouse,A008,66,Open,Unknown
DQI00125,RPT0071,2025-07-11,Incorrect Values,Medium,HR System,A025,82,Open,Source System
DQI00126,RPT0094,2025-01-21,Missing Data,Medium,ERP,A015,106,Open,Transformation Logic
DQI00127,RPT0074,2026-01-01,Missing Data,Medium,ERP,A003,60,Open,Transformation Logic
DQI00128,RPT0046,2026-07-08,Null Values,Medium,ERP,A006,44,Open,Mapping Issue
DQI00129,RPT0111,2026-05-01,Duplicate Records,Medium,Risk System,A021,37,Under Investigation,Data Entry
DQI00130,RPT0032,2025-10-02,Invalid Format,Medium,HR System,A015,67,Resolved,Mapping Issue
DQI00131,RPT0098,2025-03-01,Invalid Format,Critical,HR System,A016,61,Under Investigation,Transformation Logic
DQI00132,RPT0073,2025-12-22,Invalid Format,Medium,Risk System,A009,69,Under Investigation,Source System
DQI00133,RPT0056,2026-05-05,Null Values,High,Data Warehouse,A006,69,Under Investigation,Mapping Issue
DQI00134,RPT0069,2025-10-16,Data Mismatch,Medium,Data Warehouse,A020,102,Resolved,Source System
DQI00135,RPT0091,2026-04-29,Data Mismatch,Low,Risk System,A006,50,Under Investigation,Mapping Issue
DQI00136,RPT0041,2024-09-04,Null Values,High,ERP,A024,50,Open,Source System
DQI00137,RPT0010,2025-06-13,Data Mismatch,Medium,HR System,A017,30,Resolved,Transformation Logic
DQI00138,RPT0010,2026-04-19,Missing Data,Low,HR System,A001,35,Open,Source System
DQI00139,RPT0100,2026-02-25,Duplicate Records,Medium,Risk System,A009,78,Resolved,Unknown
DQI00140,RPT0024,2025-05-25,Missing Data,Low,Data Warehouse,A012,120,Open,Database Issue
DQI00141,RPT0051,2025-08-27,Incorrect Values,High,ERP,A012,81,Open,Source System
DQI00142,RPT0027,2025-10-16,Duplicate Records,Low,CRM,A022,49,Resolved,Source System
DQI00143,RPT0066,2026-04-18,Invalid Format,High,Core Banking,A012,43,Open,Mapping Issue
DQI00144,RPT0029,2025-08-31,Missing Data,High,Data Warehouse,A002,106,Under Investigation,Source System
DQI00145,RPT0086,2025-05-14,Invalid Format,Medium,HR System,A015,10,Open,Database Issue
DQI00146,RPT0054,2026-07-29,Data Mismatch,Low,CRM,A016,48,Resolved,Source System
DQI00147,RPT0120,2025-11-02,Missing Data,Low,HR System,A015,92,Resolved,Mapping Issue
DQI00148,RPT0062,2025-09-14,Null Values,Low,Risk System,A021,78,Under Investigation,Source System
DQI00149,RPT0013,2025-04-26,Null Values,Low,HR System,A010,2,Under Investigation,Transformation Logic
DQI00150,RPT0103,2025-06-17,Missing Data,Medium,Client Database,A020,107,Resolved,Transformation Logic
DQI00151,RPT0034,2025-03-18,Invalid Format,High,CRM,A001,116,Open,Source System
DQI00152,RPT0035,2025-01-06,Data Mismatch,Low,Risk System,A023,44,Under Investigation,Mapping Issue
DQI00153,RPT0118,2024-09-09,Missing Data,High,HR System,A011,23,Resolved,Data Entry
DQI00154,RPT0006,2025-04-24,Delayed Data,Low,Risk System,A009,94,Open,Source System
DQI00155,RPT0110,2025-11-26,Delayed Data,Low,CRM,A002,93,Open,Data Entry
DQI00156,RPT0032,2025-02-06,Incorrect Values,Low,CRM,A023,97,Resolved,Database Issue
DQI00157,RPT0115,2024-09-11,Delayed Data,High,Risk System,A021,118,Open,Source System
DQI00158,RPT0052,2026-07-16,Duplicate Records,High,Client Database,A025,63,Resolved,Unknown
DQI00159,RPT0097,2026-05-11,Null Values,High,Data Warehouse,A016,120,Under Investigation,Mapping Issue
DQI00160,RPT0033,2026-04-16,Null Values,Medium,Client Database,A011,43,Open,Transformation Logic
DQI00161,RPT0108,2025-03-26,Incorrect Values,Low,Core Banking,A006,3,Resolved,Data Entry
DQI00162,RPT0008,2024-10-04,Incorrect Values,Medium,Data Warehouse,A019,98,Open,Unknown
DQI00163,RPT0097,2026-05-10,Delayed Data,Medium,CRM,A025,55,Under Investigation,Mapping Issue
DQI00164,RPT0014,2025-08-21,Incorrect Values,Low,HR System,A017,114,Resolved,Mapping Issue
DQI00165,RPT0015,2025-10-05,Missing Data,High,Core Banking,A018,103,Under Investigation,Source System
DQI00166,RPT0003,2025-05-24,Incorrect Values,Medium,CRM,A019,73,Open,Unknown
DQI00167,RPT0117,2026-04-07,Incorrect Values,High,Data Warehouse,A002,47,Under Investigation,Transformation Logic
DQI00168,RPT0049,2025-11-16,Invalid Format,Medium,Risk System,A011,72,Resolved,Data Entry
DQI00169,RPT0116,2025-02-16,Incorrect Values,Low,Core Banking,A009,13,Under Investigation,Transformation Logic
DQI00170,RPT0019,2024-12-21,Incorrect Values,Medium,HR System,A013,100,Open,Unknown
DQI00171,RPT0090,2024-11-05,Delayed Data,Low,Core Banking,A002,9,Resolved,Data Entry
DQI00172,RPT0086,2025-02-28,Duplicate Records,High,Client Database,A022,58,Open,Transformation Logic
DQI00173,RPT0080,2026-01-12,Incorrect Values,Medium,Data Warehouse,A002,114,Open,Transformation Logic
DQI00174,RPT0073,2025-02-23,Data Mismatch,Low,HR System,A017,94,Resolved,Data Entry
DQI00175,RPT0049,2025-03-15,Missing Data,Low,HR System,A018,58,Resolved,Mapping Issue
DQI00176,RPT0069,2025-10-08,Missing Data,Medium,CRM,A009,56,Resolved,Mapping Issue
DQI00177,RPT0086,2026-05-16,Data Mismatch,Medium,ERP,A020,21,Under Investigation,Unknown
DQI00178,RPT0095,2026-04-26,Data Mismatch,High,CRM,A022,54,Resolved,Data Entry
DQI00179,RPT0101,2026-08-02,Null Values,Low,CRM,A011,60,Resolved,Source System
DQI00180,RPT0011,2026-03-15,Data Mismatch,High,HR System,A015,3,Open,Source System
DQI00181,RPT0001,2024-10-02,Delayed Data,Medium,CRM,A015,114,Open,Database Issue
DQI00182,RPT0048,2026-04-05,Delayed Data,Low,Core Banking,A015,38,Open,Source System
DQI00183,RPT0062,2025-02-06,Data Mismatch,Medium,Data Warehouse,A002,119,Open,Mapping Issue
DQI00184,RPT0078,2025-11-10,Invalid Format,Medium,HR System,A006,13,Resolved,Database Issue
DQI00185,RPT0111,2026-06-08,Incorrect Values,High,CRM,A009,77,Resolved,Source System
DQI00186,RPT0020,2026-05-01,Delayed Data,Critical,CRM,A012,103,Resolved,Mapping Issue
DQI00187,RPT0080,2025-06-17,Invalid Format,Critical,Data Warehouse,A018,48,Resolved,Transformation Logic
DQI00188,RPT0117,2025-05-22,Null Values,Medium,Core Banking,A023,61,Resolved,Database Issue
DQI00189,RPT0088,2026-08-16,Missing Data,Medium,Risk System,A002,23,Open,Database Issue
DQI00190,RPT0037,2026-06-02,Incorrect Values,Medium,HR System,A015,105,Under Investigation,Mapping Issue
DQI00191,RPT0111,2026-06-07,Null Values,Medium,Client Database,A001,70,Resolved,Transformation Logic
DQI00192,RPT0097,2025-01-01,Duplicate Records,Medium,Data Warehouse,A005,45,Resolved,Database Issue
DQI00193,RPT0002,2025-01-03,Missing Data,Low,Risk System,A018,97,Under Investigation,Source System
DQI00194,RPT0085,2025-02-19,Data Mismatch,Low,CRM,A003,107,Open,Unknown
DQI00195,RPT0084,2025-11-23,Missing Data,Low,Data Warehouse,A023,96,Resolved,Mapping Issue
DQI00196,RPT0044,2025-04-24,Incorrect Values,Low,Client Database,A012,120,Under Investigation,Source System
DQI00197,RPT0116,2026-05-08,Data Mismatch,Low,Data Warehouse,A025,58,Resolved,Mapping Issue
DQI00198,RPT0052,2026-03-16,Duplicate Records,Medium,Risk System,A012,75,Under Investigation,Mapping Issue
DQI00199,RPT0050,2026-02-12,Invalid Format,High,Risk System,A002,26,Resolved,Data Entry
DQI00200,RPT0066,2025-05-25,Null Values,Low,Data Warehouse,A007,50,Resolved,Source System
DQI00201,RPT0112,2026-07-30,Duplicate Records,Medium,Core Banking,A012,43,Resolved,Database Issue
DQI00202,RPT0079,2025-11-22,Missing Data,Critical,Core Banking,A001,51,Under Investigation,Mapping Issue
DQI00203,RPT0027,2024-09-10,Data Mismatch,Medium,Risk System,A021,106,Under Investigation,Mapping Issue
DQI00204,RPT0069,2026-02-17,Null Values,High,ERP,A021,109,Open,Source System
DQI00205,RPT0001,2026-02-15,Missing Data,High,Data Warehouse,A013,83,Open,Database Issue
DQI00206,RPT0110,2025-05-20,Incorrect Values,Low,HR System,A025,32,Under Investigation,Transformation Logic
DQI00207,RPT0036,2025-11-03,Null Values,Critical,Data Warehouse,A002,2,Resolved,Unknown
DQI00208,RPT0092,2025-10-31,Null Values,High,Data Warehouse,A001,85,Under Investigation,Database Issue
DQI00209,RPT0064,2024-12-08,Null Values,Medium,CRM,A013,82,Open,Database Issue
DQI00210,RPT0061,2025-10-31,Invalid Format,High,Core Banking,A020,33,Resolved,Data Entry
DQI00211,RPT0082,2025-01-13,Delayed Data,Low,Risk System,A011,8,Under Investigation,Database Issue
DQI00212,RPT0061,2026-05-31,Missing Data,High,CRM,A005,35,Open,Unknown
DQI00213,RPT0109,2026-05-11,Missing Data,Medium,Data Warehouse,A014,22,Open,Data Entry
DQI00214,RPT0088,2026-07-05,Duplicate Records,Low,Risk System,A002,2,Open,Unknown
DQI00215,RPT0115,2025-09-06,Null Values,High,Client Database,A018,17,Open,Mapping Issue
DQI00216,RPT0116,2025-10-15,Data Mismatch,Low,Client Database,A017,28,Resolved,Database Issue
DQI00217,RPT0004,2025-04-17,Data Mismatch,Low,Data Warehouse,A006,41,Under Investigation,Transformation Logic
DQI00218,RPT0057,2025-01-03,Null Values,Medium,ERP,A012,2,Open,Transformation Logic
DQI00219,RPT0018,2025-09-04,Incorrect Values,Low,Client Database,A012,90,Resolved,Data Entry
DQI00220,RPT0025,2024-09-18,Missing Data,High,Core Banking,A006,16,Open,Mapping Issue
DQI00221,RPT0071,2024-10-29,Null Values,Low,Client Database,A016,58,Under Investigation,Data Entry
DQI00222,RPT0027,2024-10-02,Incorrect Values,Low,Risk System,A020,17,Under Investigation,Unknown
DQI00223,RPT0035,2025-02-16,Delayed Data,Low,CRM,A017,83,Resolved,Data Entry
DQI00224,RPT0014,2025-11-30,Null Values,Medium,ERP,A001,39,Under Investigation,Source System
DQI00225,RPT0006,2025-02-05,Invalid Format,Medium,Core Banking,A024,120,Open,Source System
DQI00226,RPT0118,2024-09-04,Delayed Data,Low,Risk System,A007,79,Resolved,Transformation Logic
DQI00227,RPT0019,2025-10-02,Invalid Format,Medium,Risk System,A025,81,Open,Database Issue
DQI00228,RPT0058,2025-08-26,Delayed Data,Medium,ERP,A017,35,Open,Database Issue
DQI00229,RPT0087,2024-08-20,Delayed Data,Low,Core Banking,A006,21,Resolved,Database Issue
DQI00230,RPT0053,2025-05-04,Missing Data,Low,ERP,A014,48,Resolved,Mapping Issue
DQI00231,RPT0105,2026-08-02,Incorrect Values,Low,Risk System,A004,108,Resolved,Mapping Issue
DQI00232,RPT0079,2025-12-10,Null Values,Low,CRM,A005,40,Under Investigation,Data Entry
DQI00233,RPT0073,2025-01-23,Null Values,Medium,ERP,A014,10,Open,Database Issue
DQI00234,RPT0039,2026-05-08,Duplicate Records,Low,ERP,A014,57,Open,Unknown
DQI00235,RPT0040,2024-11-29,Missing Data,Medium,HR System,A011,86,Under Investigation,Database Issue
DQI00236,RPT0054,2025-05-11,Incorrect Values,Critical,Client Database,A025,49,Resolved,Data Entry
DQI00237,RPT0041,2026-02-27,Delayed Data,Low,CRM,A010,76,Open,Unknown
DQI00238,RPT0014,2025-01-04,Invalid Format,Low,Client Database,A015,120,Under Investigation,Database Issue
DQI00239,RPT0030,2026-08-03,Data Mismatch,Medium,ERP,A022,101,Resolved,Transformation Logic
DQI00240,RPT0104,2026-05-05,Incorrect Values,Low,Risk System,A007,21,Resolved,Transformation Logic
DQI00241,RPT0098,2026-06-06,Delayed Data,Medium,ERP,A004,82,Under Investigation,Database Issue
DQI00242,RPT0042,2026-06-25,Null Values,Medium,CRM,A020,20,Under Investigation,Unknown
DQI00243,RPT0034,2025-04-28,Data Mismatch,Medium,CRM,A001,4,Open,Transformation Logic
DQI00244,RPT0056,2024-10-05,Delayed Data,High,Data Warehouse,A014,119,Under Investigation,Data Entry
DQI00245,RPT0084,2024-09-06,Null Values,Medium,ERP,A013,65,Resolved,Unknown
DQI00246,RPT0094,2024-12-12,Incorrect Values,Low,Client Database,A020,63,Open,Mapping Issue
DQI00247,RPT0046,2025-11-18,Delayed Data,Low,ERP,A016,5,Resolved,Database Issue
DQI00248,RPT0068,2026-02-18,Delayed Data,Low,ERP,A007,101,Resolved,Source System
DQI00249,RPT0078,2026-08-02,Missing Data,Medium,Risk System,A019,13,Under Investigation,Transformation Logic
DQI00250,RPT0081,2024-12-08,Data Mismatch,Low,HR System,A015,8,Open,Source System
DQI00251,RPT0014,2026-04-13,Data Mismatch,Medium,CRM,A019,19,Under Investigation,Unknown
DQI00252,RPT0107,2024-11-14,Null Values,Medium,Data Warehouse,A007,85,Open,Mapping Issue
DQI00253,RPT0065,2026-06-08,Invalid Format,Medium,HR System,A021,24,Resolved,Mapping Issue
DQI00254,RPT0002,2025-10-02,Delayed Data,Medium,CRM,A013,51,Open,Database Issue
DQI00255,RPT0113,2026-06-19,Delayed Data,Medium,ERP,A016,10,Under Investigation,Source System
DQI00256,RPT0048,2025-05-30,Null Values,Low,ERP,A018,22,Under Investigation,Data Entry
DQI00257,RPT0003,2024-10-15,Delayed Data,Medium,Data Warehouse,A018,120,Resolved,Unknown
DQI00258,RPT0081,2025-06-06,Duplicate Records,Medium,Core Banking,A004,22,Under Investigation,Database Issue
DQI00259,RPT0057,2026-02-18,Data Mismatch,Medium,CRM,A007,79,Resolved,Source System
DQI00260,RPT0034,2026-01-16,Delayed Data,Medium,Client Database,A024,29,Resolved,Database Issue
DQI00261,RPT0114,2025-06-23,Null Values,Medium,HR System,A009,46,Open,Database Issue
DQI00262,RPT0006,2025-11-18,Delayed Data,Critical,Risk System,A009,75,Under Investigation,Transformation Logic
DQI00263,RPT0102,2024-11-06,Data Mismatch,Low,Core Banking,A018,117,Open,Unknown
DQI00264,RPT0018,2025-05-08,Invalid Format,Medium,Data Warehouse,A002,83,Resolved,Source System
DQI00265,RPT0089,2025-04-11,Invalid Format,Low,CRM,A014,66,Under Investigation,Mapping Issue
DQI00266,RPT0008,2025-04-27,Data Mismatch,Medium,Core Banking,A021,40,Under Investigation,Database Issue
DQI00267,RPT0029,2024-12-03,Invalid Format,Medium,HR System,A001,40,Under Investigation,Mapping Issue
DQI00268,RPT0090,2024-12-20,Missing Data,Medium,ERP,A015,109,Under Investigation,Transformation Logic
DQI00269,RPT0043,2026-03-11,Invalid Format,High,HR System,A008,101,Open,Source System
DQI00270,RPT0112,2025-07-25,Invalid Format,Low,Client Database,A017,114,Open,Source System
DQI00271,RPT0101,2026-04-27,Missing Data,Low,Core Banking,A016,44,Under Investigation,Unknown
DQI00272,RPT0057,2025-12-29,Invalid Format,Low,ERP,A023,95,Resolved,Data Entry
DQI00273,RPT0062,2025-09-02,Missing Data,High,HR System,A011,109,Open,Transformation Logic
DQI00274,RPT0036,2026-01-06,Delayed Data,Low,HR System,A009,79,Resolved,Transformation Logic
DQI00275,RPT0021,2025-04-23,Data Mismatch,High,Data Warehouse,A008,71,Under Investigation,Source System
