report_id,report_name,report_category,business_department,source_system,frequency,created_date,active_flag
RPT0031,Regulatory Dashboard Report,Regulatory,Legal,HR System,Quarterly,2025-01-05,Y
RPT0032,Operational Analysis Report,Operational,Compliance,CRM,Daily,2023-11-15,Y
RPT0033,Financial Performance Report,Financial,Client Services,Client Database,Weekly,2024-08-10,Y
RPT0034,Risk Performance Report,Risk,Risk,CRM,Daily,2023-10-09,Y
RPT0035,Client Performance Report,Client,Compliance,Client Database,Daily,2024-12-23,Y
RPT0036,Client Metrics Report,Client,Legal,Core Banking,Monthly,2025-05-05,Y
RPT0037,Management Analysis Report,Management,Compliance,Core Banking,Quarterly,2024-10-09,Y
RPT0038,Management Analysis Report,Management,Client Services,Core Banking,Daily,2023-12-01,Y
RPT0039,Client Metrics Report,Client,Operations,CRM,Weekly,2024-07-13,Y
RPT0040,Operational Analysis Report,Operational,Operations,ERP,Monthly,2026-01-18,Y
RPT0041,Operational Dashboard Report,Operational,Legal,HR System,Monthly,2024-12-21,Y
RPT0042,Management Metrics Report,Management,Sales,HR System,Daily,2024-07-16,Y
RPT0043,Regulatory Performance Report,Regulatory,Operations,HR System,Weekly,2026-06-04,Y
RPT0044,Regulatory Metrics Report,Regulatory,Compliance,HR System,Monthly,2025-10-04,Y
RPT0045,Management Analysis Report,Management,Legal,Data Warehouse,Monthly,2025-04-26,Y
RPT0046,Financial Dashboard Report,Financial,Sales,CRM,Daily,2026-05-15,Y
RPT0047,Compliance Summary Report,Compliance,Sales,ERP,Quarterly,2025-08-02,N
RPT0048,Risk Performance Report,Risk,Operations,CRM,Weekly,2024-03-29,Y
RPT0049,Compliance Analysis Report,Compliance,Legal,ERP,Quarterly,2024-10-05,Y
RPT0050,Financial Analysis Report,Financial,Human Resources,Risk System,Daily,2024-03-24,Y
RPT0051,Operational Summary Report,Operational,Operations,Core Banking,Quarterly,2024-09-07,Y
RPT0052,Operational Summary Report,Operational,Risk,Data Warehouse,Daily,2026-01-09,Y
RPT0053,Management Analysis Report,Management,Technology,Risk System,Weekly,2025-12-05,Y
RPT0054,Operational Performance Report,Operational,Technology,Risk System,Daily,2024-10-02,N
RPT0055,Operational Summary Report,Operational,Client Services,Core Banking,Monthly,2026-02-14,Y
RPT0056,Operational Performance Report,Operational,Compliance,Data Warehouse,Monthly,2025-06-16,Y
RPT0057,Compliance Performance Report,Compliance,Sales,Core Banking,Quarterly,2026-02-12,Y
RPT0058,Financial Performance Report,Financial,Sales,ERP,Monthly,2025-05-02,Y
RPT0059,Financial Metrics Report,Financial,Technology,Core Banking,Monthly,2025-03-05,N
RPT0060,Risk Metrics Report,Risk,Operations,Data Warehouse,Weekly,2024-07-26,Y
RPT0061,Financial Dashboard Report,Financial,Finance,Client Database,Weekly,2024-03-22,Y
RPT0062,Client Performance Report,Client,Human Resources,Client Database,Monthly,2025-10-20,Y
RPT0063,Management Analysis Report,Management,Legal,Core Banking,Quarterly,2025-09-25,Y
RPT0064,Client Analysis Report,Client,Legal,ERP,Weekly,2024-01-09,N
RPT0065,Management Dashboard Report,Management,Risk,Client Database,Monthly,2023-11-02,N
RPT0066,Risk Performance Report,Risk,Sales,Core Banking,Weekly,2024-02-07,N
RPT0067,Compliance Metrics Report,Compliance,Human Resources,Data Warehouse,Quarterly,2024-04-14,N
RPT0068,Management Summary Report,Management,Legal,Data Warehouse,Weekly,2026-04-21,Y
RPT0069,Regulatory Metrics Report,Regulatory,Human Resources,CRM,Weekly,2024-04-25,Y
RPT0070,Operational Summary Report,Operational,Risk,CRM,Daily,2026-07-13,Y
RPT0071,Client Metrics Report,Client,Operations,Data Warehouse,Quarterly,2025-06-06,Y
RPT0072,Management Dashboard Report,Management,Client Services,Data Warehouse,Weekly,2026-03-04,Y
RPT0073,Management Performance Report,Management,Operations,Risk System,Quarterly,2023-11-27,Y
RPT0074,Operational Metrics Report,Operational,Client Services,CRM,Weekly,2025-04-09,Y
RPT0075,Client Summary Report,Client,Client Services,HR System,Monthly,2025-04-04,N
RPT0076,Risk Metrics Report,Risk,Technology,Risk System,Quarterly,2026-03-03,Y
RPT0077,Management Dashboard Report,Management,Client Services,Core Banking,Weekly,2025-08-17,Y
RPT0078,Compliance Metrics Report,Compliance,Client Services,HR System,Weekly,2025-11-19,Y
RPT0079,Client Performance Report,Client,Sales,ERP,Monthly,2024-09-14,Y
RPT0080,Regulatory Metrics Report,Regulatory,Operations,ERP,Weekly,2025-12-27,Y
RPT0081,Client Summary Report,Client,Compliance,CRM,Quarterly,2023-09-07,N
RPT0082,Regulatory Metrics Report,Regulatory,Client Services,Data Warehouse,Daily,2026-07-12,Y
RPT0083,Compliance Dashboard Report,Compliance,Technology,Risk System,Daily,2024-02-14,N
RPT0084,Client Performance Report,Client,Human Resources,Core Banking,Quarterly,2026-07-15,N
RPT0085,Risk Metrics Report,Risk,Compliance,Data Warehouse,Weekly,2025-12-02,Y
RPT0086,Client Dashboard Report,Client,Finance,Data Warehouse,Monthly,2024-10-08,N
RPT0087,Management Summary Report,Management,Client Services,ERP,Daily,2026-05-12,N
RPT0088,Risk Metrics Report,Risk,Finance,CRM,Quarterly,2025-01-30,Y
RPT0089,Compliance Dashboard Report,Compliance,Risk,CRM,Monthly,2024-02-10,N
RPT0090,Regulatory Summary Report,Regulatory,Client Services,Core Banking,Monthly,2024-11-18,N
RPT0091,Regulatory Dashboard Report,Regulatory,Sales,Risk System,Daily,2025-06-26,N
RPT0092,Financial Metrics Report,Financial,Finance,Core Banking,Weekly,2024-04-22,Y
RPT0093,Compliance Performance Report,Compliance,Finance,ERP,Weekly,2025-07-25,Y
RPT0094,Risk Summary Report,Risk,Compliance,ERP,Quarterly,2023-08-26,Y
RPT0095,Risk Summary Report,Risk,Client Services,HR System,Monthly,2024-10-03,Y
RPT0096,Operational Metrics Report,Operational,Operations,Risk System,Weekly,2025-10-06,Y
RPT0097,Financial Metrics Report,Financial,Finance,Core Banking,Quarterly,2024-05-24,N
RPT0098,Management Summary Report,Management,Operations,Client Database,Weekly,2025-10-17,Y
RPT0099,Management Analysis Report,Management,Operations,Risk System,Daily,2024-02-02,Y
RPT0100,Risk Dashboard Report,Risk,Human Resources,CRM,Monthly,2026-04-18,Y
RPT0101,Compliance Dashboard Report,Compliance,Client Services,CRM,Quarterly,2024-11-26,Y
RPT0102,Management Dashboard Report,Management,Risk,Data Warehouse,Weekly,2026-05-09,Y
RPT0103,Risk Metrics Report,Risk,Client Services,Data Warehouse,Quarterly,2025-10-17,Y
RPT0104,Regulatory Summary Report,Regulatory,Operations,Core Banking,Quarterly,2026-03-24,Y
RPT0105,Compliance Dashboard Report,Compliance,Technology,Core Banking,Daily,2024-06-24,N
RPT0106,Compliance Analysis Report,Compliance,Risk,Data Warehouse,Weekly,2024-04-14,Y
RPT0107,Compliance Analysis Report,Compliance,Human Resources,Core Banking,Monthly,2025-03-23,Y
RPT0108,Risk Summary Report,Risk,Operations,ERP,Quarterly,2024-04-27,N
RPT0109,Risk Summary Report,Risk,Client Services,HR System,Quarterly,2025-12-05,N
RPT0110,Compliance Performance Report,Compliance,Operations,Core Banking,Weekly,2025-11-21,N
RPT0111,Management Summary Report,Management,Sales,HR System,Monthly,2023-08-21,N
RPT0112,Risk Metrics Report,Risk,Human Resources,Data Warehouse,Monthly,2026-03-08,Y
RPT0113,Management Dashboard Report,Management,Sales,Core Banking,Monthly,2025-01-05,Y
RPT0114,Financial Summary Report,Financial,Human Resources,CRM,Weekly,2025-09-18,Y
RPT0115,Operational Dashboard Report,Operational,Sales,HR System,Monthly,2023-09-20,Y
RPT0116,Compliance Summary Report,Compliance,Sales,ERP,Monthly,2024-02-10,Y
RPT0117,Regulatory Performance Report,Regulatory,Legal,ERP,Monthly,2025-03-06,Y
RPT0118,Financial Metrics Report,Financial,Sales,HR System,Weekly,2024-12-10,N
RPT0119,Financial Performance Report,Financial,Sales,Data Warehouse,Quarterly,2024-08-26,N
RPT0120,Regulatory Summary Report,Regulatory,Finance,Core Banking,Quarterly,2023-11-18,Y
